device,chipset,system,game,performance,driver,emulator,update,notes,date added
Retroid Pocket 5,sd865,switch,Plateup!,Perfect,Qualcomm 0.746.0,Yuzu,7.1.29,"Sometimes the game shows 0.0 fps and freezes on a black loading screen. If this happens, swipe up on the game screen as if you were going to close the process, but don't close it. Then go back to the game.",2025/5/14
Retroid Pocket 5,sd865,switch,Astral Ascent,Unplayable,Qualcomm 0.746.0,Citron,1.0.13,Playable with graphical glitches for 30 minutes then crashes. Sudachi plays perfectly but crashes when accessing the merchant's menu.,2025/5/13
Retroid Pocket 5,sd865,switch,Spongebob Squarepants: The Cosmic Shake,Playable,Turnip 24.3.0 9v2,Yuzu,1.0.7,Handheld mode High performance Accuracy Level high 1x = 20-25fps 0.75x = 25-30fps Disk shader on Async shader on Audio cubeb Bloom glitch is easily fixable by having the accuracy level on high so its pretty much mandatory. Can crash during cutscene so I suggest to just skip all of it,2025/5/13
Retroid Pocket 5,sd865,switch,Rainbow Moon,Perfect,Turnip 24.3.0 9v2,Citron,1,"Crashed on other emus I tried, playing 60 fps with undocked, high accuracy, 1x reso, mailbox sync, bilinear adapting filter, 25% fsr sharpness",2025/5/11
Retroid Pocket 5,sd865,switch,Lonely Mountains Downhill,Great,Turnip 24.3.0 9v2,Citron,1.6,"Updated game and installed all DLC. Most Emulators and Drivers work. Reduce resolution to 75%, Accuracy Level High (very important), Force Maximum Clocks. Game plays at 60 FPS (mostly), even looks like 1080 with FSR turned on. If the game freezes, pretend like you're switching apps, and go right back to the game. It usually works.",2025/5/8
Retroid Pocket 5,sd865,switch,Rune Factory 4s,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Text doesn't appear. Tried with several other emulators and drivers and it's the same,2025/5/6
Retroid Pocket 5,sd865,switch,Octopath Traveler,Perfect,Mr. Purple T18,Citron,1.0.1,"Docked, 1x Res, Disk Shader Cache:ON, Force Max Clocks:OFF, Async Shaders:ON All other settings default. Game is locked at 30FPS at all times, no stuttering, crashing, or glitches. Current save file time is at 13 hours.",2025/5/5
Retroid Pocket 5,sd865,switch,Metal Slug Tactics,Perfect,Qualcomm 819.1,Citron,1.0.2,"Game DOES NOT run perfect with Turnips, locks up during assist attacks. Use Qualcomm drivers, I used 819.1 and game runs 50-60 FPS at almost all times. No crashes after 7 hours of gameplay, chipset temp running 60-65C. Runs fine on both standard and performance power modes. Settings: Undocked, Accuracy Normal, 1x Res, sync: FIFO (On), Disc Shader Cache: ON, Force max clocks: OFF (doesn't help fps, makes chipset run hot), Use Async Shaders: ON",2025/5/4
Retroid Pocket 5,sd865,switch,The Outer Worlds,Great,Turnip 24.3.0 9v2,Sudachi,1,runs at 25 to 30 fps. Crashes a few times in the beginning but able to restart and continue playing from saved state. so save frequently,2025/5/4
Retroid Pocket 5,sd865,switch,Jamestown+,Perfect,Qualcomm 0.746.0,Citron,1.0.3,-,2025/5/3
Retroid Pocket 5,sd865,switch,Lunar Remastered Collection,Great,Qualcomm 0.746.0,Sudachi,1,"Set audio to Cubeb. Docked. Solid framerates in Lunar 1. Lunar 2 had ery minor studders where framerates dropped to 40fps here and there, which are present in handheld mode. Played through the first dungeon in both games, no issues. I hesitate to say ""perfect"" but they certainly seem 100% playable at 1-2 hours in. No issues with cutscenes and no graphic glitches that I noticed.",2025/5/3
Retroid Pocket 5,sd865,switch,Old School Musical,Perfect,Qualcomm 0.746.0,Citron,1.3,-,2025/5/3
Retroid Pocket 5,sd865,switch,Fire Emblem Warriors: Three Hopes,Playable,Turnip 25.2.0 R2,Citron,1,Expect a bunch of slowdowns due to shaders. Afterwards runs at a solid 30-40 fps. Runs better than Three Houses ;_;,2025/5/1
Retroid Pocket 5,sd865,switch,Unicorn Overlord,Great,Turnip 25.2.0 R2,Citron,1.05,"Game is ery playable and enjoyable, but not perfect, like the other entry says. Tried several drivers, got the best framerate with 25.2.0_R2. Framerate is typically directly tied to the number of entities on-screen, with the world map usually being 50-60fps, battle maps being about 45, and 6v6 combat screens dipping down to 30fps. Being a tactical RPG, this really isn't a problem, and feels great to play. Running in Handheld mode, with 0.75 resolution and FidelityFX. Cache, Max clocks, and Async Shaders turned on, CPU accuracy auto/graphics accuracy normal. May sometimes get the odd audio crackle, this can be fixed by switching audio to cubeb, but isn't really necessary.",2025/5/1
Retroid Pocket 5,sd865,switch,Carrion,Perfect,Qualcomm 805,Sudachi,1,-,2025/4/29
Retroid Pocket 5,sd865,switch,Hades,Playable,Qualcomm 0.746.0,Citron,1,still trying to set it up but i am having lighting issues,2025/4/27
Retroid Pocket 5,sd865,switch,Yo-Kai Watch 1 For Nintendo Switch,Perfect,Qualcomm 0.746.0,Yuzu,1.0.3,Also installed fan made German language patch,2025/4/27
Retroid Pocket 5,sd865,switch,Luigi's Mansion 3,Playable,Qualcomm 805,Sudachi,1.4.0,"0.75x , async off , shaders cache on Graphical glitches are common. Mirror glitch present in Yoga Mat level ,needed to see a game walkthrough to get past that. Strobing glitch after few hours of gameplay ,sometimes gets so bad need to restart the game. Few compromises but still playable to beat the game.",2025/4/27
Retroid Pocket 5,sd865,switch,Crash Team Racing: Nitro-Fueled,Unplayable,Turnip 24.3.0 9v2,Citron,1,Crash at the start of the race,2025/4/26
Retroid Pocket 5,sd865,switch,Diesel Legacy: The Brazen Age,Unplayable,Turnip 24.3.0 9v2,Citron,1,Stuck on title screen,2025/4/26
Retroid Pocket 5,sd865,switch,Mario Kart 8 Deluxe,Perfect,Turnip 24.3.0 9v2,Citron,1,the game crashes and the console turns off,2025/4/26
Retroid Pocket 5,sd865,switch,Battle Brothers,Perfect,Qualcomm 0.746.0,Sudachi,1.13.0,-,2025/4/23
Retroid Pocket 5,sd865,switch,Graveyard Keeper,Perfect,Qualcomm 0.746.0,Sudachi,1,-,2025/4/23
Retroid Pocket 5,sd865,switch,Paint The Town Red,Perfect,Qualcomm 0.746.0,Sudachi,1.0.2,-,2025/4/23
Retroid Pocket 5,sd865,switch,Megaton Musashi W: Wired,Great,Qualcomm 777,Sudachi,3.2.3,"Erratum for game update ersion, also playable with YUZU latest ersion , ALWAYS USE FIRMWARE 17.1.0 since it freezes on game launch on other fw ersions",2025/4/23
Retroid Pocket 5,sd865,switch,Megaton Musashi W: Wired,Great,Qualcomm 777,Sudachi,1.0.1,"Sudachi ersion 6178075: Vsync FIFO ON, Reso. 0.75x, FORCE MAXIMUM CLOCKS always on to avoid crashes",2025/4/23
Retroid Pocket 5,sd865,switch,Army Of Ruin,Great,Qualcomm 805,Sudachi,1,"Played in docked mode, with no OC results in some stuttering in later levels due to the amount of monsters. usually 30FPS below level 12/13 dips to ~24 for a few moments at the start of each level. Played with the OC boot.img results in perfect 30FPS in later levels in docked mode. Trying to play a 2x resolution in handheld results in crashing when picking up boss boxes.",2025/4/23
Retroid Pocket 5,sd865,switch,Graveyard Keeper,Perfect,Turnip 24.3.0 9v2,Sudachi,1,-,2025/4/23
Retroid Pocket 5,sd865,switch,The Pathless,Unplayable,Turnip 24.3.0 9v2,Citron,1,Black screen and crash during first cinematic,2025/4/21
Retroid Pocket 5,sd865,switch,Spyro Reignited Trilogy,Great,Turnip 25.2.0 R1,Yuzu,1,"Set Accuracy level to High, .75x Res, Asynchronous shaders on, Sharpness 25% or higher. Stable 30fps",2025/4/21
Retroid Pocket 5,sd865,switch,Kirby And The Forgotten Land,Unplayable,Turnip 24.3.0 9v2,Citron,1,"Could play only with fist 30 mins of game world 1, but world 2 and world 3 is crash city. Random crashes or when trying to change worlds or moving in through the 3 star doors",2025/4/20
Retroid Pocket 5,sd865,switch,Lunar Remastered Collection,Playable,Turnip 24.3.0 R5,Sudachi,1.0.2,"Lunar Silver Story Classic and Remastered both work perfectly; I ran around, watched FMVs, and did some battles with no issues. Lunar Eternal Blue Classic plays the FMVs without issues, but there are frame dips from 60 to 40 from the start when moving around. After the first boot it started exhibiting the issues that described next. Lunar Eternal Blue Remastered does not boot FMVs and gets stuck at the first in-game cutscene so I could not test in-game performance and is unplayable. I cannot recommend playing Lunar Eternal Blue on the RP5 at the current state with this configuration.",2025/4/20
Retroid Pocket 5,sd865,switch,Lonely Mountains Downhill,Unplayable,Turnip 25.2.0 R1,Sudachi,1.0.1,"Reduced the resolution to the lowest setting. I could select a course, the course loaded, but crashes when I start to move forward. New to this, don't know what to try next.",2025/4/19
Retroid Pocket 5,sd865,switch,Balatro,Perfect,Turnip 24.3.0 R5,Sudachi,1.0.9,Other drivers should run fine but you will lose the background graphics in game,2025/4/18
Retroid Pocket 5,sd865,switch,Astral Chain,Great,Qualcomm 0.746.0,Yuzu,1,-,2025/4/16
Retroid Pocket 5,sd865,switch,Big Helmet Heroes,Great,Turnip 24.3.0 9v2,Citron,1,Sometimes a crash may occur when the game loads a new location,2025/4/15
Retroid Pocket 5,sd865,switch,Bladed Fury,Perfect,Turnip 24.3.0 9v2,Sudachi,1,Plays great completed 2 levels: Some frame drops here and there but honestly faced this on switch as well,2025/4/14
Retroid Pocket 5,sd865,switch,Dogman: Mission Impawssible,Perfect,Turnip 24.3.0 9v2,Sudachi,1,"Played 3 levels, plays great",2025/4/14
Retroid Pocket 5,sd865,switch,Teenage Mutant Ninja Turtles: Mutants Unleashed,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Tried with sudachi and citron and combination of drivers. Maybe a preloaded shader cache patch will help.,2025/4/14
Retroid Pocket 5,sd865,switch,Toki,Great,Turnip 24.3.0 9v2,Sudachi,1,Little audio stutter on starting cinematics. But game maintains 60 fps,2025/4/14
Retroid Pocket 5,sd865,switch,Company Of Heroes,Great,Qualcomm 0.746.0,Sudachi,1,-,2025/4/11
Retroid Pocket 5,sd865,switch,Dragon Quest Builders,Great,Turnip 23.3.0-devel,Sudachi,1,"This is the only driver I found, where it doesn't have a weird green border issue with the item bar. The game has a bug found in all emulators where some items will show the wrong icon(even on PC) but otherwise the game works fine for the most part.",2025/4/11
Retroid Pocket 5,sd865,switch,Brewmaster Beer Brewing Simulator,Unplayable,Qualcomm 0.746.0,Sudachi,1,Game won't load at all,2025/4/9
Retroid Pocket 5,sd865,switch,Cluster Truck,Perfect,Qualcomm 0.746.0,Citron,1,Almost Perfect 60 FPS Docked in levels Some minor FPS dips occasionally Only low FPS in menu,2025/4/7
Retroid Pocket 5,sd865,switch,Otherwar,Perfect,Qualcomm 0.746.0,Citron,1,Perfect 60 FPS Docked,2025/4/7
Retroid Pocket 5,sd865,switch,Curse Of The Dead Gods,Playable,Turnip 24.3.0 9v2,Citron,1,"0.75x Resolution, Docked for almost constant 30 FPS. Occasionally crashes, some minor graphical issues",2025/4/7
Retroid Pocket 5,sd865,switch,Darksiders I,Playable,Turnip 24.3.0 9v2,Citron,1,Somehow almost worse than Darksiders II,2025/4/7
Retroid Pocket 5,sd865,switch,Darksiders II,Playable,Turnip 24.3.0 9v2,Citron,1,"It's amazing that it even runs, but it has tons of painful stuttering and FPS dips constantly throughout the gameplay. Playable, but Painful",2025/4/7
Retroid Pocket 5,sd865,switch,King Krieg Survivors,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/7
Retroid Pocket 5,sd865,switch,Ninja Slayer: Neo-Saitama In Flames,Playable,Turnip 24.3.0 9v2,Citron,1,Runs 60 FPS with no enemies on screen Killing or attacking enemies causes the fps to drop. Many FPS dips makes it annoying to play,2025/4/7
Retroid Pocket 5,sd865,switch,Thronefall,Perfect,Qualcomm 0.746.0,Citron,1.94,Almost Perfect 60 FPS Docked (FPS sits around 45-60 but you can't really tell and it stays smooth with not FPS drops.),2025/4/6
Retroid Pocket 5,sd865,switch,Turbo Overkill,Great,Qualcomm 0.746.0,Citron,1.1.0,FPS stays around 20-30. Occasional dips but surprisingly good,2025/4/6
Retroid Pocket 5,sd865,switch,Ubermosh: Omega,Perfect,Qualcomm 0.746.0,Citron,1.0.1,Perfect 60 FPS Docked,2025/4/6
Retroid Pocket 5,sd865,switch,Vampire Hunters,Great,Qualcomm 0.746.0,Citron,1.1.5,Turn accuracy level to high. Stable 60 FPS when not in combat FPS ranges from 25-60 FPS while in combat Depends on amount of enemies and effects on screen,2025/4/6
Retroid Pocket 5,sd865,switch,Void Scrappers,Perfect,Qualcomm 0.746.0,Citron,1.3,Perfect 60 FPS Docked,2025/4/6
Retroid Pocket 5,sd865,switch,Lone Ruin,Unplayable,Qualcomm 0.746.0,Citron,1,Major Graphical Issues,2025/4/5
Retroid Pocket 5,sd865,switch,Post Void,Perfect,Qualcomm 0.746.0,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Stacklands,Great,Qualcomm 0.746.0,Citron,1,Could only get to 50-60% full speed,2025/4/5
Retroid Pocket 5,sd865,switch,Arms,Great,Turnip 24.3.0 9v2,Citron,5.4.1,"Occasionally stuttering, FPS ranges 40-60 Docked. Some minor graphical issues (Disappears after loading)",2025/4/5
Retroid Pocket 5,sd865,switch,Crawl,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Fifa 18,Great,Turnip 24.3.0 9v2,Citron,1,60 FPS with occasional dips. No player indicator. Playable but disappointing,2025/4/5
Retroid Pocket 5,sd865,switch,Frogue,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Hell Is Other Demons,Perfect,Turnip 24.3.0 9v2,Citron,6.6.12,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Heretic's Fork,Great,Turnip 24.3.0 9v2,Citron,1.2.2.15,Almost Perfect 30 FPS. Occasional dips,2025/4/5
Retroid Pocket 5,sd865,switch,In Other Waters,Great,Turnip 24.3.0 9v2,Citron,1.0.4,Works well although the fps ranges from 30-50,2025/4/5
Retroid Pocket 5,sd865,switch,Jet Lancer,Perfect,Turnip 24.3.0 9v2,Citron,1,"Perfect 60 FPS, Takes around a minute to load at first",2025/4/5
Retroid Pocket 5,sd865,switch,Just Shapes &amp; Beats,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Keeper's Toll,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Kill The Crows,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Perfect 60 FPS Docked. Change accuracy level to either high or extreme. If you don't it will constantly crash.,2025/4/5
Retroid Pocket 5,sd865,switch,Neuro Voider,Perfect,Turnip 24.3.0 9v2,Citron,1.0.5,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Ori And The Will Of The Wisps,Playable,Turnip 24.3.0 9v2,Citron,1.2.0,Only successfully boots 1/4 of the time. FPS ranges from 10-35. Some minor graphical issues.,2025/4/5
Retroid Pocket 5,sd865,switch,Patrick's Parabox,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Postal: Brain Damaged,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Perfect 60 FPS Docked. Change Accuracy level to High,2025/4/5
Retroid Pocket 5,sd865,switch,Racine,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,Ruiner ,Great,Turnip 24.3.0 9v2,Citron,1.1,"Docked, 0.75x Resolution. Mostly Smooth 30 FPS, occasional dips.",2025/4/5
Retroid Pocket 5,sd865,switch,Schim,Perfect,Turnip 24.3.0 9v2,Citron,1,Put Accuracy Level on high or extreme. 1x Res - 30-35 FPS 0.75x Res - 50-60 FPS,2025/4/5
Retroid Pocket 5,sd865,switch,Splatoon 3,Great,Turnip 24.3.0 9v2,Citron,9.1.0,Occasional dips in fps but is surprisingly stable,2025/4/5
Retroid Pocket 5,sd865,switch,Star Of Providence,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 60 FPS Docked,2025/4/5
Retroid Pocket 5,sd865,switch,The Pedestrian,Perfect,Turnip 24.3.0 9v2,Citron,1,Perfect 30 FPS,2025/4/5
Retroid Pocket 5,sd865,switch,Thief Simulator,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0,minor texture error and occasional crash,2025/4/4
Retroid Pocket 5,sd865,switch,World Of Horror,Perfect,Qualcomm 0.746.0,Sudachi,1.0.3,-,2025/4/4
Retroid Pocket 5,sd865,switch,Crashlands,Perfect,Qualcomm 0.746.0,Sudachi,1.00.0.93.0,-,2025/4/3
Retroid Pocket 5,sd865,switch,Luna's Fishing Garden,Perfect,Qualcomm 0.746.0,Sudachi,1,-,2025/4/3
Retroid Pocket 5,sd865,switch,The Wardrobe: Even Better Edition,Perfect,Qualcomm 0.746.0,Citron,1,"Perfect 60fps with stock driver, won't boot with Turnips.",2025/4/3
Retroid Pocket 5,sd865,switch,Stacklands,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0.2,I beat the Demon Lord but have not played the expansion stuff yet. It plays perfectly but turn the fan on because the system starts getting hot the larger your board gets.,2025/4/1
Retroid Pocket 5,sd865,switch,Miitopia,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.3,Make sure to have BOTH Firmware and Keys installed on Emulator. You need the firmware to use and create Miis. Also turn of Disk Shader Cache.,2025/4/1
Retroid Pocket 5,sd865,switch,Worms Armageddon: Anniversary Edition,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.1,"Docked mode locked 60fps, default settings",2025/4/1
Retroid Pocket 5,sd865,switch,Jurassic World Evolution ,Great,Turnip 23.3.0-devel,Sudachi,1.0.1,Idk,2025/3/31
Retroid Pocket 5,sd865,switch,Ninja Gaiden Sigma,Perfect,Turnip 24.1.0 R18,Citron,1.0.4,works perfect now with sound unlike older switch emulators. the game has washed out blacks go into grapics menu in game and turn gamma down to 0.5,2025/3/30
Retroid Pocket 5,sd865,switch,Metroid Dread,Perfect,BioSensor MK2,Citron,2.1.0,"Docked 60fps, looks amazing on the OLED display! Couldn’t hit a solid 60fps using 9v2 unfortunately despite the other guides suggesting it Accuracy: Normal Force maximum clocks: On Asynchronous shaders: Off",2025/3/29
Retroid Pocket 5,sd865,switch,Braid Anniversary Edition,Perfect,Qualcomm 0.746.0,Sudachi,1.5.0,Docked runs at 40-60 FPS,2025/3/27
Retroid Pocket 5,sd865,switch,Dysmantle,Great,Qualcomm 0.746.0,Sudachi,1.4.0.0,The minimap doesn't work but the pause map does. I played 3 areas before I got bored. 40-60 FPS.,2025/3/27
Retroid Pocket 5,sd865,switch,Kamen Rider Memory Of Heroez Sound Edition,Perfect,Qualcomm 0.746.0,Citron,1,Performance mode is sufficient runs pretty good with a steady 30fps at 0.75x Asynchronous Shaders on you must use the qualcomm driver to not have the black graphics glitch,2025/3/27
Retroid Pocket 5,sd865,switch,Pikmin 4,Great,Turnip 24.0.0,Citron,1,9v2 doesnt work after the intro part. use this driver.,2025/3/27
Retroid Pocket 5,sd865,switch,Bomb Rush Cyberfunk,Perfect,Turnip 24.1.0 R18,Citron,1.0.19975,"Docked mode, 1080p almost locked 60fps (rare drops to high 50s) Enable the in-game “Unleash the beast” setting for 60fps - default is 30fps. Citron latest ersion. Stock drivers and 9v2 had shadow graphical issues which are resolved using this driver. All other settings are default. Here is the download link for the 24.1.0 - Rev. 18 driver: https://github.com/K11MCH1/AdrenoToolsDrivers/releases/ download/v24.1.0_R18/Turnip-24.1.0.adpkg_R18.a6xx.zip",2025/3/27
Retroid Pocket 5,sd865,switch,Naruto Shippuden Ultimate Ninja Storm 4 Road To Boruto,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.15,"Not much setting is needed other then putting it in performance mode with a steady 30fps There will be a downloading data screen when it load, but for some reason Citron will not pass that screen so use Sudachi",2025/3/27
Retroid Pocket 5,sd865,switch,Cobalt Core,Unplayable,Qualcomm 0.746.0,Sudachi,1,Tried multiple drivers and settings. Hangs at the start up loading screen.,2025/3/25
Retroid Pocket 5,sd865,switch,Forager,Great,Qualcomm 0.746.0,Sudachi,4.1.3,Starts on a black screen but if you wait a bit the game will play perfectly.,2025/3/25
Retroid Pocket 5,sd865,switch,Littlewood,Perfect,Qualcomm 0.746.0,Sudachi,1.03,-,2025/3/25
Retroid Pocket 5,sd865,switch,Mining Mechs,Perfect,Qualcomm 0.746.0,Sudachi,1.0.2,-,2025/3/25
Retroid Pocket 5,sd865,switch,Wall World,Perfect,Qualcomm 0.746.0,Sudachi,1,-,2025/3/25
Retroid Pocket 5,sd865,switch,Pokemon Violet,Great,Turnip 24.3.0 9v2,Sudachi,1.0.15,"1x is playable 0.75x runs great (&lt;30 fps on cutscenes, &lt;25 fps on fights) Use High Performance mode(smart fan) Force Clock turned on graphics glitchs on some trees and some weird texture on pokemons, it gets the job done",2025/3/25
Retroid Pocket 5,sd865,switch,Super Mario Bros. Wonder,Playable,Turnip 24.3.0 9v2,Citron,1.01,"Citron 0.5 + Turnip 9v2 or 24.1.0 R18 fix The game will freeze and restart the device at times, sometimes even corrupting the save games or configuration of the emulator. Much less issues now with Citron 0.5 but perhaps 7 levels are still problematic. Consider using Syncthing to save your game progress elsewhere and remove some of the frustration. If the issue with restart occurs, change CPU + Graphics accuracy to high, revert to default qualcomm driver and disable shader cache. Finish the level and revert config.",2025/3/21
Retroid Pocket 5,sd865,switch,Xenoblade Chronicles X: Definitive Edition,Great,Turnip 24.3.0 9v2,Citron,1,Handheld mode 1x Resolution High performance Citron 0.6.1 Force Max Clocks On Async Shaders On,2025/3/21
Retroid Pocket 5,sd865,switch,Ironfall Invasion,Perfect,Qualcomm 0.746.0,Citron,1,1x handheld smooth 60 in my testing so far,2025/3/20
Retroid Pocket 5,sd865,switch,Need For Speed Hot Pursuit Remastered,Perfect,Qualcomm 0.746.0,Suyu,1,"both Suyu and Citron, thank you for this spreadsheet",2025/3/20
Retroid Pocket 5,sd865,switch,Astral Chain,Great,Qualcomm 744.12,Citron,1,v744.12 gives me the best performance. less dips. Handheld. Async &amp; max clocks on,2025/3/20
Retroid Pocket 5,sd865,switch,Prodeus,Great,Qualcomm 805,Citron,1.0.1,Docked mode @ 0.75 resolution fluctuates 40 - 60 fps but doesn't feel like it stutters. Really nice doom-like shooter,2025/3/20
Retroid Pocket 5,sd865,switch,Another Code: Recollection,Unplayable,Qualcomm 0.746.0,Citron,1,Crashes anytime you try to use Camera,2025/3/18
Retroid Pocket 5,sd865,switch,Enraged Red Ogre,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.2,Runs perfectly 1x resolution,2025/3/18
Retroid Pocket 5,sd865,switch,A Little To The Left,Perfect,Qualcomm 0.746.0,Yuzu,1,plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Bzzzt,Perfect,Qualcomm 0.746.0,Citron,1,Plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Dogurai,Perfect,Qualcomm 0.746.0,Yuzu,1,plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Grapple Dog,Perfect,Qualcomm 0.746.0,Yuzu,1,-,2025/3/16
Retroid Pocket 5,sd865,switch,Kero Blaster,Perfect,Qualcomm 0.746.0,Yuzu,1,Plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Loco Motive,Perfect,Qualcomm 0.746.0,Citron,1,plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Nintendo World Championship,Perfect,Qualcomm 0.746.0,Citron,1,Plays perfectly when I set graphics to 0.75,2025/3/16
Retroid Pocket 5,sd865,switch,Pikuniku,Perfect,Qualcomm 0.746.0,Yuzu,1,Plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Shovel Knight King Of Cards,Perfect,Qualcomm 0.746.0,Yuzu,1,-,2025/3/16
Retroid Pocket 5,sd865,switch,Shovel Knight Shovel Of Hope,Perfect,Qualcomm 0.746.0,Yuzu,1,-,2025/3/16
Retroid Pocket 5,sd865,switch,Symphonia,Perfect,Qualcomm 0.746.0,Citron,1,-,2025/3/16
Retroid Pocket 5,sd865,switch,Teslagrad,Perfect,Qualcomm 0.746.0,Yuzu,1,-,2025/3/16
Retroid Pocket 5,sd865,switch,Donut Dodo,Perfect,Turnip 24.3.0 9v2,Yuzu,1,plays perfectly,2025/3/16
Retroid Pocket 5,sd865,switch,Kamen Rider Memory Of Heroez,Great,Qualcomm 0.746.0,Citron,1,"Achieves consistent 30 fps gameplay Use 0.75 resolution with upscaling for assurance High Performance mode Throughout my gameplay, there were no game breaking graphical glitches that occured compared to using Turnip 9v2 where half of the screen turned black during cutscenes. Will test it further",2025/3/14
Retroid Pocket 5,sd865,switch,3000th Duel,Great,Turnip 24.3.0 9v2,Citron,1.1.2,"Only had a few bugs where the game turned black when going into the next room, and also some random crashes. Noticed bugs only happened when resuming game from sleep.",2025/3/14
Retroid Pocket 5,sd865,switch,Guns Of Fury,Unplayable,Turnip 24.3.0 9v2,Citron,1,won't boot black screen,2025/3/14
Retroid Pocket 5,sd865,switch,Guns Of Fury,Unplayable,Turnip 24.3.0 9v2,Yuzu,1,won't boot,2025/3/14
Retroid Pocket 5,sd865,switch,Assassin's Creed 4,Playable,Turnip 24.3.0 9v2,Citron,1,"graphics accuracy on high docked mode off, fsr enabled.",2025/3/13
Retroid Pocket 5,sd865,switch,Legend Of Grimrock,Perfect,Turnip 24.3.0 9v2,Citron,1,"Works great, but I have just played 10 minutes. Might be problems down the line, but I doubt it. Default settings.",2025/3/13
Retroid Pocket 5,sd865,switch,Streets Of Rogue,Perfect,Turnip 24.3.0 9v2,Sudachi,1,Perfect. I played 1 playthrough with soldier and got to the last floor without any problem.,2025/3/13
Retroid Pocket 5,sd865,switch,Twelve Minutes,Great,Turnip 24.3.0 9v2,Citron,1,Minor lightning glitch at the start. Good performance. Default Settings.,2025/3/13
Retroid Pocket 5,sd865,switch,Streets Of Rage 4,Perfect,Qualcomm 805,Citron,1.0.9,Tried default and Turnip but it glitches and you miss the “story ideos” found the latest Qualcomm fixes that.,2025/3/9
Retroid Pocket 5,sd865,switch,Skyrim,Playable,Turnip 24.3.0 9v2,Sudachi,1.1.392.3925134,"Plays fine, consistent 30fps at 0.75 res. Occasional crashes. Flickering lighting issue in dungeons. Worked around it somewhat by installing Enhanced Lights mod which makes flickering less intense, but also makes dungeons too dark in some areas. Mods can be installed by putting .esp/.esm files in sudachi/files/sdmc/atmosphere/contents/01000A10041EA000/romfs/Data. Edit Skyrim.ini folder in romfs folder. Add one if not there from Nexus mods Skyrim Switch Toolkit.",2025/3/9
Retroid Pocket 5,sd865,switch,Duck Game,Perfect,Turnip 24.1.0 R18,Yuzu,1,"11/10 party game, runs great. Small graphics issues in certain screens in the game but they dont affect gameplay.",2025/3/8
Retroid Pocket 5,sd865,switch,Star Wars The Force Unleashed ,Playable,Turnip 24.3.0 9v2,Yuzu,1,"The game launches and runs fine, but the pause menu options are transparent once you get into the game, making it quite difficult to navigate. Could play, if you're determined or desperate.",2025/3/8
Retroid Pocket 5,sd865,switch,Stranger Things,Perfect,Turnip 24.3.0 9v2,Yuzu,1,works great. would not load on standard driver. Only tried Yuzu.,2025/3/7
Retroid Pocket 5,sd865,switch,Batman Arkham Asylum,Playable,Turnip 24.3.0 9v2,Sudachi,1,It's running really great @30fps on 1x resolution. But at some points or after a couple of minutes in the game it'll freeze and the only way to progress is to delete the compiled shaders. So it's kinda annoying that you have to close the emulator and delete the shaders for every 3-5 minutes.,2025/3/6
Retroid Pocket 5,sd865,switch,Princess Peach: Showtime!,Great,Turnip 24.3.0 9v2,Citron,1,"Resolution scale 1x (This is important otherwise Peach and Toad's face will be glitchy), Accuracy High (these seemed to determine whether game had sound or not), Sync Off, Disk shader cache on, For maximum clocks on, asynchronous shaders off, reactive flushing off.",2025/3/5
